Style,Variant Code,total_quantity,reorder_threshold,reorder_quantity,reorder_value,tier
JARRON,990.XL,0.0,100,100.0,29999.0,okay
LYENA,990.L,0.0,100,100.0,29999.0,okay
LANCE,896.L,0.0,100,100.0,29999.0,okay
AVITA,870.3XS,0.0,100,100.0,29999.0,okay
LANCE,896.XL,0.0,100,100.0,29999.0,okay
AERYN,620.M,0.0,100,100.0,29999.0,okay
GIA,920.2XL.,0.0,100,100.0,29999.0,okay
AVITA,990.XL,0.0,100,100.0,29999.0,okay
AERYN,990.M,0.0,100,100.0,29999.0,okay
ELSA,990XL,0.0,100,100.0,29999.0,okay
GRADY,330.2XL.,13.0,200,187.0,29918.13,making_progress
TORI SLING BAG,112.NS,28.0,300,272.0,29917.28,doing_good
ANNIKA,860.XS.,0.0,100,100.0,29900.0,okay
ANNIKA,860.3XS.,0.0,100,100.0,29900.0,okay
ANNIKA,860.S.,0.0,100,100.0,29900.0,okay
ANNIKA,860.M.,0.0,100,100.0,29900.0,okay
ANNIKA,860.L.,0.0,100,100.0,29900.0,okay
ANNIKA,860.2XS.,0.0,100,100.0,29900.0,okay
MYLAH CROSSBODY,990.NS.,12.0,200,188.0,29892.0,making_progress
"BOSTON 28"" LARGE LUGGAGE CASE",470.NS.,0.0,100,100.0,29700.0,okay
"BOSTON 28"" LARGE LUGGAGE CASE",316.NS.,0.0,100,100.0,29700.0,okay
"BOSTON 28"" LARGE LUGGAGE CASE",940.NS.,0.0,100,100.0,29700.0,okay
AERYN,549.XL,1.0,100,99.0,29699.010000000002,okay
DERICK,990.XS,1.0,100,99.0,29699.010000000002,okay
AVITA,990.XS,1.0,100,99.0,29699.010000000002,okay
AERYN,700.XS,1.0,100,99.0,29699.010000000002,okay
CLAUDINE,990.L.,1.0,100,99.0,29699.010000000002,okay
AERYN,620.L,1.0,100,99.0,29699.010000000002,okay
DERICK,990.3XL,1.0,100,99.0,29699.010000000002,okay
AERYN,620.2XL,1.0,100,99.0,29699.010000000002,okay
DERICK,990.M,1.0,100,99.0,29699.010000000002,okay
LANCE,919.XL,1.0,100,99.0,29699.010000000002,okay
AERYN,700.3XS,1.0,100,99.0,29699.010000000002,okay
LANCE,919.XS,1.0,100,99.0,29699.010000000002,okay
ELSA,990L,1.0,100,99.0,29699.010000000002,okay
LANCE,919.S,1.0,100,99.0,29699.010000000002,okay
CLAUDINE,990.S.,1.0,100,99.0,29699.010000000002,okay
AERYN,990.L,1.0,100,99.0,29699.010000000002,okay
EVIE,990.12.,1.0,100,99.0,29699.010000000002,okay
TATIANA,723XL,1.0,100,99.0,29601.0,okay
TATIANA,620.XL,1.0,100,99.0,29601.0,okay
DIANA,990.XS,1.0,100,99.0,29601.0,okay
TATIANA,620.M,1.0,100,99.0,29601.0,okay
MYKEL,890.S,1.0,100,99.0,29601.0,okay
TATIANA,620.3XS,1.0,100,99.0,29601.0,okay
NIKO,990.2XL,1.0,100,99.0,29601.0,okay
AIDEN,917.2XL.,1.0,100,99.0,29601.0,okay
AIDEN,917.3XL.,1.0,100,99.0,29601.0,okay
DIANA,116.2XS,1.0,100,99.0,29601.0,okay
AIDEN,917.L.,1.0,100,99.0,29601.0,okay
TATIANA,723XS,1.0,100,99.0,29601.0,okay
DIANA,990.S,1.0,100,99.0,29601.0,okay
NIKO,990.L,1.0,100,99.0,29601.0,okay
TATIANA,620.2XS,1.0,100,99.0,29601.0,okay
AIDEN,914.M.,1.0,100,99.0,29601.0,okay
TATIANA,723L,1.0,100,99.0,29601.0,okay
TATIANA,710.XS,1.0,100,99.0,29601.0,okay
NIKO,990.M,1.0,100,99.0,29601.0,okay
BO SLING BAG,870.NS.,30.0,300,270.0,29430.0,doing_good
LORNA,62004,1.0,100,99.0,29403.0,okay
LORNA,62008,1.0,100,99.0,29403.0,okay
LORNA,72308,1.0,100,99.0,29403.0,okay
LORNA,62006,1.0,100,99.0,29403.0,okay
LORNA,62014,1.0,100,99.0,29403.0,okay
GREG,920.XS.,2.0,100,98.0,29399.02,okay
EVIE,990.08.,2.0,100,98.0,29399.02,okay
CLAUDINE,990.3XS.,2.0,100,98.0,29399.02,okay
CLAUDINE,990.XS.,2.0,100,98.0,29399.02,okay
LANCE,896.S,2.0,100,98.0,29399.02,okay
CLAUDINE,990.XL.,2.0,100,98.0,29399.02,okay
DERICK,990.XL,2.0,100,98.0,29399.02,okay
DERICK,990.2XL,2.0,100,98.0,29399.02,okay
AERYN,810.2XL,2.0,100,98.0,29399.02,okay
DERICK,990.L,2.0,100,98.0,29399.02,okay
BO SLING BAG,730.NS.,31.0,300,269.0,29321.0,doing_good
TATIANA,7232XS,2.0,100,98.0,29302.0,okay
AIDEN,917.XL.,2.0,100,98.0,29302.0,okay
AIDEN,917.XS.,2.0,100,98.0,29302.0,okay
TATIANA,620.XS,2.0,100,98.0,29302.0,okay
DIANA,116.3XS,2.0,100,98.0,29302.0,okay
DIANA,990.M,2.0,100,98.0,29302.0,okay
AIDEN,914.XL.,2.0,100,98.0,29302.0,okay
TATIANA,710.3XS,2.0,100,98.0,29302.0,okay
HEIDI SHOULDER BAG,853.NS.,54.0,300,246.0,29274.0,doing_good
AILEE,100.00,5.0,200,195.0,29248.050000000003,making_progress
DARIUS MESSENGER BAG,990.NS,5.0,200,195.0,29248.050000000003,making_progress
NEVE,990.3XS,5.0,200,195.0,29248.050000000003,making_progress
SELENE SHOULDER BAG,907.NS.,35.0,300,265.0,29147.35,doing_good
LORNA,580.10,2.0,100,98.0,29106.0,okay
LORNA,580.08,2.0,100,98.0,29106.0,okay
NEVE,990.2XS,6.0,200,194.0,29098.06,making_progress
AILEE,100.10,6.0,200,194.0,29098.06,making_progress
TEAGAN,116.3XS.,7.0,200,193.0,28948.070000000003,making_progress
KINGSTON DUFFEL BAG,990NS,6.0,200,194.0,28906.0,making_progress
AILEE,410.00,8.0,200,192.0,28798.08,making_progress
TEAGAN,330.3XS.,8.0,200,192.0,28798.08,making_progress
AILEE,410.06,8.0,200,192.0,28798.08,making_progress
AILEE,553.00,8.0,200,192.0,28798.08,making_progress
AILEE,410.02,8.0,200,192.0,28798.08,making_progress
AILEE,553.10,9.0,200,191.0,28648.09,making_progress
AILEE,410.08,9.0,200,191.0,28648.09,making_progress
AILEE,410.04,9.0,200,191.0,28648.09,making_progress
LOUISA,670.NS.,8.0,200,192.0,28608.0,making_progress
DUNCAN,990.XS,6.0,200,194.0,28518.0,making_progress
AILEE,410.10,10.0,200,190.0,28498.100000000002,making_progress
AILEE,553.06,10.0,200,190.0,28498.100000000002,making_progress
AILEE,553.02,10.0,200,190.0,28498.100000000002,making_progress
TEAGAN,330.2XL.,10.0,200,190.0,28498.100000000002,making_progress
TEAGAN,116.2XL.,10.0,200,190.0,28498.100000000002,making_progress
ANASTASIA,990.NS,10.0,200,190.0,28498.100000000002,making_progress
SELENE SHOULDER BAG,680.NS.,41.0,300,259.0,28487.41,doing_good
AILEE,553.04,11.0,200,189.0,28348.11,making_progress
QUENTYN,990.L,-1.0,100,101.0,28278.99,okay
DUNCAN,990.XL,8.0,200,192.0,28224.0,making_progress
DUNCAN,870.XS,8.0,200,192.0,28224.0,making_progress
CATERINNA CROSSBODY,550.NS,12.0,200,188.0,28198.120000000003,making_progress
AILEE,553.08,12.0,200,188.0,28198.120000000003,making_progress
PIPPA TOTE,990.NS.,12.0,200,188.0,28198.120000000003,making_progress
SPENCE BELT BAG,990.NS,12.0,200,188.0,28012.0,making_progress
GRAHAM,870.L,0.0,100,100.0,27999.0,okay
ANGELIQUE,120.L.,0.0,100,100.0,27999.0,okay
QUENTYN,916.M,0.0,100,100.0,27999.0,okay
ANGELIQUE,120.S.,0.0,100,100.0,27999.0,okay
GRAHAM,870.XL,0.0,100,100.0,27999.0,okay
MOLLY,104.S.,0.0,100,100.0,27999.0,okay
QUENTYN,916.XL,0.0,100,100.0,27999.0,okay
ANGELIQUE,120.XS.,0.0,100,100.0,27999.0,okay
MOLLY,104.3XS.,0.0,100,100.0,27999.0,okay
QUENTYN,355.XS,0.0,100,100.0,27999.0,okay
ANGELIQUE,120.3XS.,0.0,100,100.0,27999.0,okay
NINA,710.3XS,0.0,100,100.0,27900.0,okay
TEAGAN,330.2XS.,14.0,200,186.0,27898.140000000003,making_progress
KIMBER,530.NS,22.0,300,278.0,27797.219999999998,doing_good
EDDIE,990.S,1.0,100,99.0,27719.010000000002,okay
ROBB,733.XS,1.0,100,99.0,27719.010000000002,okay
EDDIE,990.XS,1.0,100,99.0,27719.010000000002,okay
MOLLY,104.M.,1.0,100,99.0,27719.010000000002,okay
ANGELIQUE,120.M.,1.0,100,99.0,27719.010000000002,okay
QUENTYN,639.XL,1.0,100,99.0,27719.010000000002,okay
GRAHAM,870.2XL,1.0,100,99.0,27719.010000000002,okay
QUENTYN,916.3XL,1.0,100,99.0,27719.010000000002,okay
LIBERTY CROSSBODY,125.NS.,46.0,300,254.0,27686.0,doing_good
NINA,990.2XS,1.0,100,99.0,27621.0,okay
NINA,633.XL,1.0,100,99.0,27621.0,okay
NINA,710.2XL,1.0,100,99.0,27621.0,okay
KRYSTA LARGE WALLET,402.NS,24.0,300,276.0,27597.239999999998,doing_good
LIBERTY CROSSBODY,313.NS.,48.0,300,252.0,27468.0,doing_good
QUENTYN,639.3XL,2.0,100,98.0,27439.02,okay
EDDIE,990.M,2.0,100,98.0,27439.02,okay
QUENTYN,355.2XL,2.0,100,98.0,27439.02,okay
GRAHAM,870.XS,2.0,100,98.0,27439.02,okay
MOLLY,104.2XS.,2.0,100,98.0,27439.02,okay
GRAHAM,870.S,2.0,100,98.0,27439.02,okay
EDDIE,990.3XL,2.0,100,98.0,27439.02,okay
MOLLY,104.L.,2.0,100,98.0,27439.02,okay
MOLLY,104.XS.,2.0,100,98.0,27439.02,okay
LIBERTY CROSSBODY,990.NS.,49.0,300,251.0,27359.0,doing_good
NINA,990.3XS,2.0,100,98.0,27342.0,okay
NINA,633.2XL,2.0,100,98.0,27342.0,okay
CAIN BOOTS,990.40.,5.0,200,195.0,27298.050000000003,making_progress
LIBERTY CROSSBODY,710.NS.,51.0,300,249.0,27141.0,doing_good
LIBERTY CROSSBODY,100.NS.,51.0,300,249.0,27141.0,doing_good
TRAVELPRO LUGGAGE CASE,940.NS,27.0,300,273.0,27027.0,doing_good
CAIN BOOTS,990.43.,7.0,200,193.0,27018.070000000003,making_progress
RORY,990L,22.0,300,278.0,26966.0,doing_good
CHRISSY,990.M.,22.0,300,278.0,26966.0,doing_good
CHRISSY,990.S.,22.0,300,278.0,26966.0,doing_good
TORI SLING BAG,990.NS,55.0,300,245.0,26947.55,doing_good
AXTON LONG WALLET,990.NS,28.0,300,272.0,26928.0,doing_good
EDRIK,931.XS,0.0,100,100.0,26900.0,okay
CAIN BOOTS,990.41.,8.0,200,192.0,26878.08,making_progress
HERA LARGE WALLET,441.NS,29.0,300,271.0,26829.0,doing_good
HERA LARGE WALLET,853.NS,29.0,300,271.0,26829.0,doing_good
AUBREE SMALL TOTE,116.NS.,0.0,100,100.0,26700.0,okay
AUBREE SMALL TOTE,710.NS.,0.0,100,100.0,26700.0,okay
AUBREE SMALL TOTE,990.NS.,0.0,100,100.0,26700.0,okay
ETIENNE,990.3XL,1.0,100,99.0,26631.0,okay
TORI SLING BAG,620.NS,58.0,300,242.0,26617.579999999998,doing_good
SPENCER WALLET,914.NS.,28.0,300,272.0,26384.0,doing_good
ETIENNE,990.2XL,2.0,100,98.0,26362.0,okay
ETIENNE,990.XL,2.0,100,98.0,26362.0,okay
HEIDI CROSSBODY,853.NS.,34.0,300,266.0,26334.0,doing_good
CHELSEY BACKPACK,670.NS,36.0,300,264.0,26136.0,doing_good
SOPHIE CROSSBODY,990.NS,15.0,200,185.0,25898.15,making_progress
HEIDI CROSSBODY,990.NS.,43.0,300,257.0,25443.0,doing_good
CATERINNA CAMERA BAG,550.NS,6.0,200,194.0,25218.06,making_progress
BRAX,870.40.,6.0,200,194.0,25218.06,making_progress
SONNET,990.3XS.,7.0,200,193.0,25088.070000000003,making_progress
TORI SHOULDER BAG,112.NS,7.0,200,193.0,25088.070000000003,making_progress
BRAX,990.41.,7.0,200,193.0,25088.070000000003,making_progress
ANSELMA,990.S,0.0,100,100.0,24999.0,okay
LENNARD,990.S,0.0,100,100.0,24999.0,okay
ANSELMA,990.2XS,0.0,100,100.0,24999.0,okay
CHLOE,990.2XS,0.0,100,100.0,24999.0,okay
JULISSA,9903XS,0.0,100,100.0,24999.0,okay
ELLIAT,554.L,0.0,100,100.0,24999.0,okay
BRAX,990.42.,8.0,200,192.0,24958.08,making_progress
SONNET,100.3XS.,8.0,200,192.0,24958.08,making_progress
CONRAD,890.S,0.0,100,100.0,24900.0,okay
JON,990S,0.0,100,100.0,24900.0,okay
JON,9902XL,0.0,100,100.0,24900.0,okay
JON,733.M,0.0,100,100.0,24900.0,okay
ROSCOE,116.XS.,9.0,200,191.0,24828.09,making_progress
LAINEY,990.02,1.0,100,99.0,24749.010000000002,okay
ANSELMA,990.2XL,1.0,100,99.0,24749.010000000002,okay
DALE,990.XS.,1.0,100,99.0,24749.010000000002,okay
FENTON,990.M.,1.0,100,99.0,24749.010000000002,okay
JULISSA,990XS,1.0,100,99.0,24749.010000000002,okay
ARCHIE,998.M,1.0,100,99.0,24749.010000000002,okay
ZOEY,553.S,1.0,100,99.0,24749.010000000002,okay
LAINEY,990.08,1.0,100,99.0,24749.010000000002,okay
LAINEY,990.06,1.0,100,99.0,24749.010000000002,okay
LAINEY,990.14,1.0,100,99.0,24749.010000000002,okay
DALE,990.L.,1.0,100,99.0,24749.010000000002,okay
"BOSTON 24"" MEDIUM LUGGAGE CASE",940.NS.,0.0,100,100.0,24700.0,okay
"BOSTON 24"" MEDIUM LUGGAGE CASE",470.NS.,0.0,100,100.0,24700.0,okay
"BOSTON 24"" MEDIUM LUGGAGE CASE",316.NS.,0.0,100,100.0,24700.0,okay
BRAX,870.41.,10.0,200,190.0,24698.100000000002,making_progress
ISZY,550.NS,10.0,200,190.0,24698.100000000002,making_progress
ROSCOE,116.2XL.,10.0,200,190.0,24698.100000000002,making_progress
REGGIE,998.XL,1.0,100,99.0,24651.0,okay
CICELY,730.04,1.0,100,99.0,24651.0,okay
CICELY,730.00,1.0,100,99.0,24651.0,okay
JON,733.2XL,1.0,100,99.0,24651.0,okay
REGGIE,998.L,1.0,100,99.0,24651.0,okay
CICELY,990.02,1.0,100,99.0,24651.0,okay
CICELY,730.14,1.0,100,99.0,24651.0,okay
KRYSTA LARGE WALLET,520.NS,54.0,300,246.0,24597.539999999997,doing_good
ROSCOE,330.XS.,11.0,200,189.0,24568.11,making_progress
KLARICE,990.M,7.0,200,193.0,24511.0,making_progress
KLARICE,990.S,7.0,200,193.0,24511.0,making_progress
ZOEY,553.XL,2.0,100,98.0,24499.02,okay
ZOEY,553.2XS,2.0,100,98.0,24499.02,okay
MIKEY,870.XL.,2.0,100,98.0,24499.02,okay
MIKEY,870.L.,2.0,100,98.0,24499.02,okay
ZOEY,553.XS,2.0,100,98.0,24499.02,okay
MIKEY,990.XL.,2.0,100,98.0,24499.02,okay
BRONTE,990.L,2.0,100,98.0,24499.02,okay
DAVE,990.3XL.,2.0,100,98.0,24499.02,okay
LAINEY,990.00,2.0,100,98.0,24499.02,okay
CATERINNA CAMERA BAG,857.NS,12.0,200,188.0,24438.120000000003,making_progress
ROSCOE,330.S.,12.0,200,188.0,24438.120000000003,making_progress
CICELY,990.06,2.0,100,98.0,24402.0,okay
ROSCOE,116.S.,13.0,200,187.0,24308.13,making_progress
BRAX,870.42.,13.0,200,187.0,24308.13,making_progress
PIPPA CROSSBODY,580.NS.,13.0,200,187.0,24308.13,making_progress
HARPER LARGE TOTE,870.NS.,12.0,200,188.0,24252.0,making_progress
KLARICE,990.XL,10.0,200,190.0,24130.0,making_progress
SONNET,100.XL.,15.0,200,185.0,24048.15,making_progress
PIPPA CROSSBODY,920.NS.,15.0,200,185.0,24048.15,making_progress
SONNET,990.XL.,15.0,200,185.0,24048.15,making_progress
SONNET,100.2XS.,15.0,200,185.0,24048.15,making_progress
ROSA WRISLET/CROSSBODY,632.NS.,14.0,200,186.0,23994.0,making_progress
ROSCOE,330.2XL.,16.0,200,184.0,23918.160000000003,making_progress
SETH,990.XS,1.0,100,99.0,23660.010000000002,okay
KLARICE,990.L,14.0,200,186.0,23622.0,making_progress
KRYSTA LARGE WALLET,853.NS,66.0,300,234.0,23397.66,doing_good
KRYSTA LARGE WALLET,920.NS,66.0,300,234.0,23397.66,doing_good
REETA,414.M,6.0,200,194.0,23278.059999999998,making_progress
VALENCIA PHONE WALLET,550.NS.,65.0,300,235.0,23265.0,doing_good
EVELYN,160.XS.,-1.0,100,101.0,23228.99,okay
NEVINE LARGE WALLET,115.NS,66.0,300,234.0,23166.0,doing_good
FAWN,100.3XS.,8.0,200,192.0,23038.079999999998,making_progress
REETA,116.M,8.0,200,192.0,23038.079999999998,making_progress
REETA,116.XS,8.0,200,192.0,23038.079999999998,making_progress
JEMMA,990.XS,0.0,100,100.0,22999.0,okay
BRENNA,620L,0.0,100,100.0,22999.0,okay
JEMMA,990.L,0.0,100,100.0,22999.0,okay
AVALIE,990.L,0.0,100,100.0,22999.0,okay
BRENNA,620M,0.0,100,100.0,22999.0,okay
BRENNA,700.S,0.0,100,100.0,22999.0,okay
THOM,870.XL,0.0,100,100.0,22999.0,okay
AVALIE,735.XS,0.0,100,100.0,22999.0,okay
JEMMA,990.S,0.0,100,100.0,22999.0,okay
REETA,414.XS,9.0,200,191.0,22918.09,making_progress
REETA,414.2XS,9.0,200,191.0,22918.09,making_progress
YANI,990.3XS,0.0,100,100.0,22900.0,okay
FAWN,932.3XS.,10.0,200,190.0,22798.1,making_progress
AVALIE,990.XL,1.0,100,99.0,22769.010000000002,okay
AVALIE,735.XL,1.0,100,99.0,22769.010000000002,okay
AVALIE,735.2XL,1.0,100,99.0,22769.010000000002,okay
SHYLA,723.M.,1.0,100,99.0,22769.010000000002,okay
DRAKE,990.S,1.0,100,99.0,22769.010000000002,okay
EVELYN,160.XL.,1.0,100,99.0,22769.010000000002,okay
AVALIE,990.M,1.0,100,99.0,22769.010000000002,okay
EVELYN,160.L.,1.0,100,99.0,22769.010000000002,okay
SHYLA,723.XL.,1.0,100,99.0,22769.010000000002,okay
SHYLA,723.XS.,1.0,100,99.0,22769.010000000002,okay
ALESSANDRA,990.L,1.0,100,99.0,22769.010000000002,okay
AVALIE,735.2XS,1.0,100,99.0,22769.010000000002,okay
BRENNA,920.S,1.0,100,99.0,22769.010000000002,okay
BRENNA,4712XS,1.0,100,99.0,22769.010000000002,okay
DARIO,990.M.,1.0,100,99.0,22769.010000000002,okay
DARIO,990.L.,1.0,100,99.0,22769.010000000002,okay
BRENNA,920.M,1.0,100,99.0,22769.010000000002,okay
JEMMA,990.3XS,1.0,100,99.0,22769.010000000002,okay
BRENNA,990.XS,1.0,100,99.0,22769.010000000002,okay
BRENNA,471XS,1.0,100,99.0,22769.010000000002,okay
SHYLA,990.M,1.0,100,99.0,22769.010000000002,okay
BRENNA,700.L,1.0,100,99.0,22769.010000000002,okay
BRENNA,990.L,1.0,100,99.0,22769.010000000002,okay
BOSTON NYLON DUFFEL,316.NS.,0.0,100,100.0,22700.0,okay
BOSTON NYLON DUFFEL,470.NS.,0.0,100,100.0,22700.0,okay
BOSTON NYLON DUFFEL,940.NS.,0.0,100,100.0,22700.0,okay
MARLEKA,990.XS.,6.0,200,194.0,22698.0,making_progress
QUINCY,990.L,6.0,200,194.0,22698.0,making_progress
AINA,990L,6.0,200,194.0,22698.0,making_progress
QUINCY,990.XL,6.0,200,194.0,22698.0,making_progress
INESSA,990.2XS,1.0,100,99.0,22671.0,okay
YANI,990.XL,1.0,100,99.0,22671.0,okay
YANI,990.M,1.0,100,99.0,22671.0,okay
YANI,990.2XL,1.0,100,99.0,22671.0,okay
LAUREL,710.14,1.0,100,99.0,22671.0,okay
WHITLEY CROSSBODY,632.NS.,8.0,200,192.0,22656.0,making_progress
SPENCER WALLET,938.NS.,67.0,300,233.0,22601.0,doing_good
DAMIEN,890.XL,7.0,200,193.0,22581.0,making_progress
FAWN,100.XL.,12.0,200,188.0,22558.12,making_progress
BRENNA,549.3XS.,2.0,100,98.0,22539.02,okay
BRENNA,116.XS,2.0,100,98.0,22539.02,okay
DARIO,990.S.,2.0,100,98.0,22539.02,okay
SHYLA,723.L.,2.0,100,98.0,22539.02,okay
DARIO,990.3XL.,2.0,100,98.0,22539.02,okay
BRENNA,471XL,2.0,100,98.0,22539.02,okay
DARIO,990.XS.,2.0,100,98.0,22539.02,okay
DRAKE,990.3XL,2.0,100,98.0,22539.02,okay
BRENNA,990.2XS,2.0,100,98.0,22539.02,okay
BRENNA,700.XL,2.0,100,98.0,22539.02,okay
BRENNA,549.M.,2.0,100,98.0,22539.02,okay
SHYLA,723.2XL.,2.0,100,98.0,22539.02,okay
EVELYN,870.L.,2.0,100,98.0,22539.02,okay
DARIO,990.2XL.,2.0,100,98.0,22539.02,okay
BRENNA,549.S.,2.0,100,98.0,22539.02,okay
QUINCY,990.M,8.0,200,192.0,22464.0,making_progress
SANDRO,990.S,8.0,200,192.0,22464.0,making_progress
YANI,990.S,2.0,100,98.0,22442.0,okay
LAUREL,633.02,2.0,100,98.0,22442.0,okay
YANI,990.L,2.0,100,98.0,22442.0,okay
LAUREL,633.00,2.0,100,98.0,22442.0,okay
LAUREL,710.02,2.0,100,98.0,22442.0,okay
QUINCY,990.S,9.0,200,191.0,22347.0,making_progress
SELMA,990.L,10.0,200,190.0,22230.0,making_progress
HELENA,870.S.,-1.0,100,101.0,22218.99,okay
FAWN,932.2XS.,15.0,200,185.0,22198.149999999998,making_progress
FAWN,932.XL.,15.0,200,185.0,22198.149999999998,making_progress
MARLEKA,990.L.,11.0,200,189.0,22113.0,making_progress
AVELINE,910.M,11.0,200,189.0,22113.0,making_progress
SELMA,990.M,11.0,200,189.0,22113.0,making_progress
MARLEKA,990.S.,11.0,200,189.0,22113.0,making_progress
FAWN,932.L.,16.0,200,184.0,22078.16,making_progress
FAWN,100.2XS.,16.0,200,184.0,22078.16,making_progress
ANDRA,990.S,12.0,200,188.0,21996.0,making_progress
SANDRO,990.L,13.0,200,187.0,21879.0,making_progress
SANDRO,990.M,13.0,200,187.0,21879.0,making_progress
PHYLLA,990.3XS,1.0,100,99.0,21779.010000000002,okay
HELENA,870.M.,1.0,100,99.0,21779.010000000002,okay
PAULA,531.3XS,1.0,100,99.0,21779.010000000002,okay
PAULA,990.L,1.0,100,99.0,21779.010000000002,okay
PAULA,410.3XS,1.0,100,99.0,21779.010000000002,okay
HELENA,870.3XS.,1.0,100,99.0,21779.010000000002,okay
PHYLLA,990.XS,1.0,100,99.0,21779.010000000002,okay
GAVIN,990.L,1.0,100,99.0,21779.010000000002,okay
PAULA,410.XS,1.0,100,99.0,21779.010000000002,okay
DAMIEN,990.L,14.0,200,186.0,21762.0,making_progress
MARLEKA,990.M.,14.0,200,186.0,21762.0,making_progress
EDWYNA,990.NS,30.0,300,270.0,21597.3,doing_good
CELINA MEDIUM BI-FOLD WALLET,585.NS,27.0,300,273.0,21567.0,doing_good
HELENA,160.L.,2.0,100,98.0,21559.02,okay
HELENA,160.M.,2.0,100,98.0,21559.02,okay
PAULA,531.XS,2.0,100,98.0,21559.02,okay
HELENA,160.S.,2.0,100,98.0,21559.02,okay
SANDRO,730.M,16.0,200,184.0,21528.0,making_progress
MARCY,553.NS,31.0,300,269.0,21517.309999999998,doing_good
EMMELIE LARGE PHONE WALLET,340.NS,31.0,300,269.0,21517.309999999998,doing_good
VALENCIA LARGE WRISTLET,853.NS,32.0,300,268.0,21437.32,doing_good
ADVENTURE SEEKER 20,400.NS,32.0,300,268.0,21437.32,doing_good
CELINA MEDIUM BI-FOLD WALLET,700.NS,29.0,300,271.0,21409.0,doing_good
EMMELIE LARGE PHONE WALLET,934.NS,33.0,300,267.0,21357.329999999998,doing_good
HELENA,870.L.,3.0,100,97.0,21339.030000000002,okay
HELENA,160.2XL.,3.0,100,97.0,21339.030000000002,okay
PAULA,410.M,3.0,100,97.0,21339.030000000002,okay
PAULA,990.XL,3.0,100,97.0,21339.030000000002,okay
PAULA,531.2XS,3.0,100,97.0,21339.030000000002,okay
PAULA,531.L,3.0,100,97.0,21339.030000000002,okay
PAULA,410.2XS,3.0,100,97.0,21339.030000000002,okay
PAULA,410.L,3.0,100,97.0,21339.030000000002,okay
EMMELIE LARGE PHONE WALLET,310.NS,34.0,300,266.0,21277.34,doing_good
EMMELIE LARGE PHONE WALLET,700.NS,34.0,300,266.0,21277.34,doing_good
SELENE SHOULDER BAG,150.NS.,7.0,200,193.0,21228.07,making_progress
VALENCIA LARGE WRISTLET,340.NS,35.0,300,265.0,21197.35,doing_good
EMMELIE LARGE PHONE WALLET,990.NS,35.0,300,265.0,21197.35,doing_good
VALENCIA LARGE WRISTLET,660.NS,35.0,300,265.0,21197.35,doing_good
CELINA MEDIUM BI-FOLD WALLET,545.NS,32.0,300,268.0,21172.0,doing_good
EDWYNA,922.NS,36.0,300,264.0,21117.359999999997,doing_good
CELINA PHONE WALLET/CROSSBODY,830.NS,36.0,300,264.0,21117.359999999997,doing_good
CELINA MEDIUM BI-FOLD WALLET,580.NS,33.0,300,267.0,21093.0,doing_good
EMMELIE LARGE PHONE WALLET,660.NS,37.0,300,263.0,21037.37,doing_good
CELINA MEDIUM BI-FOLD WALLET,320.NS,34.0,300,266.0,21014.0,doing_good
ADVENTURE SEEKER 25,990.NS,9.0,200,191.0,21008.09,making_progress
VALENCIA LARGE WRISTLET,820.NS,38.0,300,262.0,20957.379999999997,doing_good
CELINA PHONE WALLET/CROSSBODY,545.NS,41.0,300,259.0,20717.41,doing_good
ADVENTURE SEEKER 20,990.NS,41.0,300,259.0,20717.41,doing_good
CELINA MEDIUM BI-FOLD WALLET,260.NS,38.0,300,262.0,20698.0,doing_good
CELINA MEDIUM BI-FOLD WALLET,870.NS,38.0,300,262.0,20698.0,doing_good
CELINA PHONE WALLET/CROSSBODY,823.NS,42.0,300,258.0,20637.42,doing_good
NOLE WALLET,720.NS.,32.0,300,268.0,20636.0,doing_good
EMMELIE LARGE PHONE WALLET,270.NS,43.0,300,257.0,20557.43,doing_good
CELINA PHONE WALLET/CROSSBODY,934.NS,43.0,300,257.0,20557.43,doing_good
CELINA MEDIUM BI-FOLD WALLET,934.NS,40.0,300,260.0,20540.0,doing_good
LEYLAND CARDHOLDER,441.NS,40.0,300,260.0,20540.0,doing_good
UPTOWN LUGGAGE CASE,414.NS,45.0,300,255.0,20397.449999999997,doing_good
NOLE WALLET,870.NS.,36.0,300,264.0,20328.0,doing_good
UPTOWN LUGGAGE CASE,118.NS,47.0,300,253.0,20237.469999999998,doing_good
ZIARA,990.M,-1.0,100,101.0,20198.99,okay
HUNTLEY,870.M,-1.0,100,101.0,20198.99,okay
RALPH,990.M.,-1.0,100,101.0,20198.99,okay
UPTOWN LUGGAGE CASE,633.NS,48.0,300,252.0,20157.48,doing_good
TESSA,553.06,-1.0,100,101.0,20099.0,okay
JACKY,990.S.,-1.0,100,101.0,20099.0,okay
CELINA MEDIUM BI-FOLD WALLET,823.NS,46.0,300,254.0,20066.0,doing_good
TARRANT,990.M.,0.0,100,100.0,19999.0,okay
RALPH,990.XL.,0.0,100,100.0,19999.0,okay
KASPER,908.XL,0.0,100,100.0,19999.0,okay
RUTGER,632.M.,0.0,100,100.0,19999.0,okay
KEVYN,990.2XL,0.0,100,100.0,19999.0,okay
ZACK,990S,0.0,100,100.0,19999.0,okay
MILLIE,998.M,0.0,100,100.0,19999.0,okay
JOSIAN,340.2XS,0.0,100,100.0,19999.0,okay
